Pipeline,Sequence,ParseSequence,Parent,Depth,Activity,ActivityType,Role,IntegrationRuntime,Dataset,DataFlow,LinkedPipeline,SourceTable,SinkTable,SourceSQL,SinkSQL,SQL,Tables,Columns,StoredProcedure,FilePath,Parameters,Dependencies,DependencyConditions,ValuesInfo,Description,Timeout,RetryCount,RetryInterval,SecureInput,SecureOutput,UserProperties,State,ExecutionStage,HasDependsOn,DependsOnCount,CycleFlag,Triggers
PL_SendEmail_MultipleAttachments,1,1,,0,Send_Email,WebActivity,Web POST,AutoResolveIR,,,,,,,,,,,,,Act:GetSecrete,GetSecrete(Succeeded),Succeeded,URL: @activity('GetSecrete').output.value,,7.00:00:00,0,30,No,No,,Enabled,1,Yes,21,No,
PL_SendEmail_MultipleAttachments,2,2,,0,GetSecrete,WebActivity,Web GET,AutoResolveIR,,,,,,,,,,,,,,,,"URL: @concat('pipeline().globalParameters.KeyVault_Environment_URL','vault.azure.net/secrets/LA-SendEmail",,7.00:00:00,0,30,No,No,,Enabled,0,No,0,No,
Send_Email_No_Attachments,1,1,,0,Send_Email,WebActivity,Web POST,AutoResolveIR,,,,,,,,,,,,,Act:GetSecrete,GetSecrete(Succeeded),Succeeded,URL: @activity('GetSecrete').output.value,,7.00:00:00,0,30,No,No,,Enabled,1,Yes,21,No,
Send_Email_No_Attachments,2,2,,0,GetSecrete,WebActivity,Web GET,AutoResolveIR,,,,,,,,,,,,,,,,"URL: @concat('pipeline().globalParameters.KeyVault_Environment_URL','vault.azure.net/secrets/LA-Send-Emai",,7.00:00:00,0,30,No,No,,Enabled,0,No,0,No,
PL_CALENDAR_FLAGS,1,1,,0,Update Flags Script,Script,SQL Script,AutoResolveIR,,,,,,,,"DECLARE @today date;
DECLARE @today_last_year date;

DECLARE @current_FY smallint;
DECLARE @last_FY smallint;
DECLARE @current_CY smallint;
DECLARE @last_CY smallint;

DECLARE @current_FQ nvarchar(2);
DECLARE @current_Q tinyint;
DECLARE @current_M tinyint;
DECLARE @current_W tinyint;

SET DATEFIRST 1;

SET @today = DATEADD(day,-1,sysdatetimeoffset() AT TIME ZONE 'Eastern Standard Time')
SET @today_last_year = DATEADD(YEAR,-1,@today); 

SET @current_FY = (SELECT [Fiscal Year] FROM dr.calendar WHERE [Date] = @today);
SET @current_FQ = (SELECT [Fiscal Quarter] FROM dr.calendar WHERE [Date] = @today);
SET @current_Q = (SELECT [Qtr No.] FROM dr.calendar WHERE [Date] = @today);
SET @current_M = (SELECT [Month No.] FROM dr.calendar WHERE [Date] = @today);
SET @current_W = DATENAME(ww,@today);

SET @last_FY = @current_FY - 1;
SET @current_CY = YEAR(@today);
SET @last_CY = @current_CY - 1;

UPDATE dr.calendar
SET 

YTD_FLAG = q.YTD_FLAG
,FYTD_FLAG = q.FYTD_FLAG
,FQTD_FLAG = q.FQTD_FLAG
,QTD_FLAG = q.QTD_FLAG
,MTD_FLAG = q.MTD_FLAG
,DAY_FLAG = q.DAY_FLAG
,IS_MONTH_CLOSED = q.IS_MONTH_CLOSED
,WTD_FLAG = q.WTD_FLAG
,DAY_INCLUDE_WEEKEND_FLAG=q.DAY_INCLUDE_WEEKEND_FLAG
FROM (
SELECT [date_key]
	  , CASE WHEN [Fiscal Year] = @current_FY AND [Date] <= @today THEN 'TY' 
	    WHEN [Fiscal Year] = @current_FY THEN 'TY-REM'
		WHEN [Fiscal Year] = @last_FY AND [Date] <= @today_last_year THEN 'LY'
		WHEN [Fiscal Year] = @last_FY THEN 'LY-REM'
	  END as 'FYTD_FLAG'
	  , CASE WHEN [Year] = @current_CY AND [Date] <= @today THEN 'TY' 
	    WHEN [Year] = @current_CY THEN 'TY-REM'
		WHEN [Year] = @last_CY AND [Date] <= @today_last_year THEN 'LY'
		WHEN [Year] = @last_CY THEN 'LY-REM'
	  END as 'YTD_FLAG'
	  , CASE WHEN [Fiscal Year] = @current_FY AND [Fiscal Quarter] = @current_FQ AND [Date] <= @today THEN 'TY' 
	    WHEN [Fiscal Year] = @current_FY AND [Fiscal Quarter] = @current_FQ THEN 'TY-REM'
		WHEN [Fiscal Year] = @last_FY AND [Fiscal Quarter] = @current_FQ AND [Date] <= @today_last_year THEN 'LY'
		WHEN [Fiscal Year] = @last_FY AND [Fiscal Quarter] = @current_FQ THEN 'LY-REM'
	  END as 'FQTD_FLAG'
	  , CASE WHEN [Year] = @current_CY AND [Qtr No.] = @current_Q AND [Date] <= @today THEN 'TY' 
	    WHEN [Year] = @current_CY AND [Qtr No.] = @current_Q THEN 'TY-REM'
		WHEN [Year] = @last_CY AND [Qtr No.] = @current_Q AND [Date] <= @today_last_year THEN 'LY'
		WHEN [Year] = @last_CY AND [Qtr No.] = @current_Q THEN 'LY-REM'
	  END as 'QTD_FLAG'
	  , CASE WHEN [Year] = @current_CY AND [Month No.] = @current_M AND [Date] <= @today THEN 'TY' 
	    WHEN [Year] = @current_CY AND [Month No.] = @current_M THEN 'TY-REM'
		WHEN [Year] = @last_CY AND [Month No.] = @current_M AND [Date] <= @today_last_year THEN 'LY'
		WHEN [Year] = @last_CY AND [Month No.] = @current_M THEN 'LY-REM'
	  END as 'MTD_FLAG'
	  , CASE WHEN [Date] <= EOMONTH(DATEADD(month,-1,@today)) THEN 'Y'
	  END as 'IS_MONTH_CLOSED'
	  , CASE WHEN [Date] = @today THEN 'TY' 
		WHEN [Date] = @today_last_year THEN 'LY'
	  END as 'DAY_FLAG'
	  , CASE WHEN [Year] = @current_CY AND DATENAME(ww,[Date]) = @current_W AND [Date] <= @today THEN 'TY' 
	    WHEN [Year] = @current_CY AND DATENAME(ww,[Date]) = @current_W THEN 'TY-REM'
		WHEN [Year] = @last_CY AND DATENAME(ww,DATEADD(ww,52,[Date])) = @current_W AND [Date] <= DATEADD(ww,-52,@today) THEN 'LY'
		WHEN [Year] = @last_CY AND DATENAME(ww,DATEADD(ww,52,[Date])) = @current_W THEN 'LY-REM'
	  END as 'WTD_FLAG',
	  CASE 
	  WHEN [Date] >= DATEADD(d,-2,@today) and [Date] <=@today 
	  and datename(weekday,sysdatetimeoffset() AT TIME ZONE 'Eastern Standard Time')='Monday'
	  THEN 'TY' 
       WHEN [Date] = @today THEN 'TY' 
	  END as 'DAY_INCLUDE_WEEKEND_FLAG'
  FROM [dr].[calendar] ) q
  WHERE [dr].[calendar].date_key = q.date_key;
",,,,,,,,,,0.00:30:00,2,300,No,No,,Enabled,0,No,0,No,"TR_PRD_DAILY_1205AM, TR_DEV_DAILY_1205AM"
PL_HANA_CV_SALES_SUMMARY_PBI,1,1,,0,CD_CV_SALES_SUMMARY_PBI,Copy,SapHanaSource→DelimitedTextSink,nsus-nhscbi-dh-usea-ithub-shared-ir,IN:DS_C2C_SAPHANA_B9E_Generic | OUT:DS_ADLS_Generic,,,@dataset:p_table,,"SELECT ""MATERIAL_TXT"", ""0PLANT_KEY"", ""0CUST_SALES_KEY"", ""SALESORG_TXT"", ""0CUSTOMER_KEY"", ""0MATERIAL_KEY"", ""0CALDAY_KEY"", ""0COMP_CODE_KEY"", ""0SALESORG_KEY"", sum(""$BIC$YGTQTY_CS"") AS ""Quantity in Cases"", sum(""G_AVV020"") AS ""Gross proceeds"", sum(""G_AVV031"") AS ""Pricing Pol Allow"", sum(""G_AVV041"") AS ""Tenders"", sum(""G_AVV051"") AS ""Price equalization"", sum(""G_AVV135"") AS ""Free goods to trade"", sum(""G_AVV390"") AS ""Trade Asset Revenue"", sum(""G_AVV915"") AS ""Surchgs. Lease & Oth"", sum(""G_QABSMG"") AS ""Sales quantity"", sum(""G_QVV002"") AS ""Base unit"", sum(""G_QVV010"") AS ""Reporting Quantity"", sum(""Y_GPR_3"") AS ""General Price Reduction"", sum(""YGTGDMC11_GPS"") AS ""Gross Proceeds of Sales"", sum(""YGTGDMC11_NPS"") AS ""Net Proceeds of Sales"" FROM ""_SYS_BIC"".""nestle.dev.glb.ba.fico.COPA.models.calculation/CV_SALES_SUMMARY_PBI"" where ""0CALDAY_KEY"" = '20221201' and ""0COMP_CODE_KEY"" in ( 'US16','US8X') and ""0VERSION_KEY"" = '000' and ""0VTYPE_KEY"" = '010' GROUP BY ""MATERIAL_TXT"",""0PLANT_KEY"",""0CUST_SALES_KEY"",""SALESORG_TXT"",""0CUSTOMER_KEY"",""0MATERIAL_KEY"",""0CALDAY_KEY"",""0COMP_CODE_KEY"",""0SALESORG_KEY""",,"SELECT ""MATERIAL_TXT"", ""0PLANT_KEY"", ""0CUST_SALES_KEY"", ""SALESORG_TXT"", ""0CUSTOMER_KEY"", ""0MATERIAL_KEY"", ""0CALDAY_KEY"", ""0COMP_CODE_KEY"", ""0SALESORG_KEY"", sum(""$BIC$YGTQTY_CS"") AS ""Quantity in Cases"", sum(""G_AVV020"") AS ""Gross proceeds"", sum(""G_AVV031"") AS ""Pricing Pol Allow"", sum(""G_AVV041"") AS ""Tenders"", sum(""G_AVV051"") AS ""Price equalization"", sum(""G_AVV135"") AS ""Free goods to trade"", sum(""G_AVV390"") AS ""Trade Asset Revenue"", sum(""G_AVV915"") AS ""Surchgs. Lease & Oth"", sum(""G_QABSMG"") AS ""Sales quantity"", sum(""G_QVV002"") AS ""Base unit"", sum(""G_QVV010"") AS ""Reporting Quantity"", sum(""Y_GPR_3"") AS ""General Price Reduction"", sum(""YGTGDMC11_GPS"") AS ""Gross Proceeds of Sales"", sum(""YGTGDMC11_NPS"") AS ""Net Proceeds of Sales"" FROM ""_SYS_BIC"".""nestle.dev.glb.ba.fico.COPA.models.calculation/CV_SALES_SUMMARY_PBI"" where ""0CALDAY_KEY"" = '20221201' and ""0COMP_CODE_KEY"" in ( 'US16','US8X') and ""0VERSION_KEY"" = '000' and ""0VTYPE_KEY"" = '010' GROUP BY ""MATERIAL_TXT"",""0PLANT_KEY"",""0CUST_SALES_KEY"",""SALESORG_TXT"",""0CUSTOMER_KEY"",""0MATERIAL_KEY"",""0CALDAY_KEY"",""0COMP_CODE_KEY"",""0SALESORG_KEY""",,"0CALDAY_KEY, 0COMP_CODE_KEY, 0CUSTOMER_KEY, 0CUST_SALES_KEY, 0MATERIAL_KEY, 0PLANT_KEY, 0SALESORG_KEY, Base unit, Free goods to trade, General Price Reduction, Gross Proceeds of Sales, Gross proceeds, Lease & Oth, MATERIAL_TXT, Net Proceeds of Sales, Price equalization, Pricing Pol Allow, Quantity in Cases, Reporting Quantity, SALESORG_TXT, Sales quantity, Tenders, Trade Asset Revenue",,,,,,TypeConversion:[AllowTruncation],,0.12:00:00,0,30,No,No,,Enabled,0,No,0,No,
PL_SF_BLOB,1,1,,0,Copy data1,Copy,SnowflakeV2Source→DelimitedTextSink,nsus-nhscbi-dh-usea-ithub-shared-ir,IN:DS_EDW_SNOWFLAKE_PROD | OUT:DS_ADLS_BLOB_Generic_COPY,,,,,Select top 10 * from EDW.PRS.BIG0CUSTOMER_T_V,,Select top 10 * from EDW.PRS.BIG0CUSTOMER_T_V,EDW.PRS.BIG0CUSTOMER_T_V,*,,,,,,,,0.12:00:00,0,30,No,No,,Enabled,0,No,0,No,
pl_NHSC_V_MaterialGroupDescriptions,1,1,,0,CD_V_MaterialGroupDescriptions,Copy,SnowflakeV2Source→DelimitedTextSink,nsus-nhscbi-dh-usea-ithub-shared-ir,IN:DS_EDW_SNOWFLAKE_PROD | OUT:DS_ADLS_Generic_DynamicDelimiter,,,,,"SELECT ""Client"" ,""LanguageKey"" ,""MaterialGroup"" ,""MaterialGroupDescription"" ,""LongTextDescribingTheMaterialGroup"" ,""IS_DELETED"" ,""SLT_LAST_TIMESTAMP"" ,""LAST_TIMESTAMP"" ,""D_LAST_TIMESTAMP"" FROM EDW.PRSCS.S6_SC_CS_MDH_MATERIALGROUPDESCRIPTIONS_V WHERE ""LanguageKey"" = 'E' AND ""MaterialGroup"" IN (SELECT N1.""MaterialGroup"" FROM EDW.PRSCS.S6_SC_CS_MDH_GENERALMATERIALDATA_V N1, EDW.PRSCS.S6_SC_CS_ERPAMS_MVKE_DM_V N2 WHERE N1.""MaterialNumber"" =N2.""MaterialNumber"" AND N2.""SalesOrganization"" IN( 'US01', 'US02', 'US03', 'US04', 'US05', 'US06', 'US07', 'US08', 'US8R', 'US8O' ) GROUP BY N1.""MaterialGroup"")",,"SELECT ""Client"" ,""LanguageKey"" ,""MaterialGroup"" ,""MaterialGroupDescription"" ,""LongTextDescribingTheMaterialGroup"" ,""IS_DELETED"" ,""SLT_LAST_TIMESTAMP"" ,""LAST_TIMESTAMP"" ,""D_LAST_TIMESTAMP"" FROM EDW.PRSCS.S6_SC_CS_MDH_MATERIALGROUPDESCRIPTIONS_V WHERE ""LanguageKey"" = 'E' AND ""MaterialGroup"" IN (SELECT N1.""MaterialGroup"" FROM EDW.PRSCS.S6_SC_CS_MDH_GENERALMATERIALDATA_V N1, EDW.PRSCS.S6_SC_CS_ERPAMS_MVKE_DM_V N2 WHERE N1.""MaterialNumber"" =N2.""MaterialNumber"" AND N2.""SalesOrganization"" IN( 'US01', 'US02', 'US03', 'US04', 'US05', 'US06', 'US07', 'US08', 'US8R', 'US8O' ) GROUP BY N1.""MaterialGroup"")","EDW.PRSCS.S6_SC_CS_MDH_GENERALMATERIALDATA_V, EDW.PRSCS.S6_SC_CS_MDH_MATERIALGROUPDESCRIPTIONS_V","Client, D_LAST_TIMESTAMP, IS_DELETED, LAST_TIMESTAMP, LanguageKey, LongTextDescribingTheMaterialGroup, MaterialGroup, MaterialGroupDescription, SLT_LAST_TIMESTAMP",,,"V:Delimiter, V:EscapeCharacter","Set Delimiter(Succeeded), Set EscapeCharacter(Succeeded)","Succeeded, Succeeded",Staging:LS_ADLS_STAGE_BLOB,,0.12:00:00,0,30,No,No,,Enabled,1,Yes,56,No,TR_PRD_DAILY_3AM
pl_NHSC_V_MaterialGroupDescriptions,2,2,,0,CD_V_MaterialGroupDescriptions_Synapse,Copy,DelimitedTextSource→SqlDWSink,nsus-dv-nhscbi-dh-usea-azir,IN:DS_ADLS_Generic_DynamicDelimiter | OUT:DS_ASA_Generic,,,,@dataset:p_Schema.@dataset:p_Table,,truncate table dr.NHSC_V_MaterialGroupDescriptions,"-- PRE-COPY SCRIPT:
truncate table dr.NHSC_V_MaterialGroupDescriptions",,,,,"V:Delimiter, V:EscapeCharacter",CD_V_MaterialGroupDescriptions(Succeeded),Succeeded,Staging:LS_ADLS | SINK:[PreCopyScript:Yes | TableOption:autoCreate],,0.12:00:00,0,30,No,No,,Enabled,2,Yes,41,No,TR_PRD_DAILY_3AM
pl_NHSC_V_MaterialGroupDescriptions,3,3,,0,CD_V_MaterialGroupDescriptions_Archive,Copy,DelimitedTextSource→DelimitedTextSink,nsus-dv-nhscbi-dh-usea-azir,IN:DS_ADLS_Generic_DynamicDelimiter | OUT:DS_ADLS_Generic,,,,,,,,,,,,"V:Delimiter, V:EscapeCharacter",CD_V_MaterialGroupDescriptions(Succeeded),Succeeded,TypeConversion:[AllowTruncation],,0.12:00:00,0,30,No,No,,Enabled,2,Yes,41,No,TR_PRD_DAILY_3AM
