Pipeline,FromActivity,FromSequence,FromParent,ToActivity,ToSequence,ToParent,Conditions,SequenceFlow,SameContainer,FromExecutionStage,ToExecutionStage
PL_SendEmail_MultipleAttachments,GetSecrete,2,,Send_Email,1,,Succeeded,2→1,Yes,0,1
Send_Email_No_Attachments,GetSecrete,2,,Send_Email,1,,Succeeded,2→1,Yes,0,1
pl_NHSC_V_MaterialGroupDescriptions,Set Delimiter,4,,CD_V_MaterialGroupDescriptions,1,,Succeeded,4→1,Yes,0,1
pl_NHSC_V_MaterialGroupDescriptions,Set EscapeCharacter,5,,CD_V_MaterialGroupDescriptions,1,,Succeeded,5→1,Yes,0,1
pl_NHSC_V_MaterialGroupDescriptions,CD_V_MaterialGroupDescriptions,1,,CD_V_MaterialGroupDescriptions_Synapse,2,,Succeeded,1→2,Yes,1,2
pl_NHSC_V_MaterialGroupDescriptions,CD_V_MaterialGroupDescriptions,1,,CD_V_MaterialGroupDescriptions_Archive,3,,Succeeded,1→3,Yes,1,2
pl_NHSC_V_MaterialDescriptions,Set Delimiter,4,,CD_V_MaterialDescriptions,1,,Succeeded,4→1,Yes,0,1
pl_NHSC_V_MaterialDescriptions,Set EscapeCharacter,5,,CD_V_MaterialDescriptions,1,,Succeeded,5→1,Yes,0,1
pl_NHSC_V_MaterialDescriptions,CD_V_MaterialDescriptions,1,,CD_V_MaterialDescriptions_Synapse,2,,Succeeded,1→2,Yes,1,2
pl_NHSC_V_MaterialDescriptions,CD_V_MaterialDescriptions,1,,CD_V_MaterialDescriptions_Archive,3,,Succeeded,1→3,Yes,1,2
Delta_ADLS_to_Datawarehouse_copy1,Rertrieve Entities from Control Table,1,,Filter Records Specific to Data WaredHouse Load,2,,Succeeded,1→2,Yes,0,1
Delta_ADLS_to_Datawarehouse_copy1,Filter Records Specific to Data WaredHouse Load,2,,Load All the entities mentioned in Control Table to DW,3,,Succeeded,2→3,Yes,1,2
ADLS_TO_DATAWAREHOUSE_copy1,Filter Records Specific to Data WaredHouse Load,4,,Load All the entities mentioned in Control Table to DW,2,,Succeeded,4→2,Yes,1,2
ADLS_TO_DATAWAREHOUSE_copy1,Rertrieve Entities from Control Table,1,,Filter Records Specific to Data WaredHouse Load,4,,Succeeded,1→4,Yes,0,1
pl_NHSC_V_KONP,CD_V_KONP,1,,CD_V_KONP_Synapse,2,,Succeeded,1→2,Yes,0,1
Delta_ADLS_to_Datawarehouse,Rertrieve Entities from Control Table,1,,Filter Records Specific to Data WaredHouse Load,2,,Succeeded,1→2,Yes,0,1
Delta_ADLS_to_Datawarehouse,Filter Records Specific to Data WaredHouse Load,2,,Load All the entities mentioned in Control Table to DW,3,,Succeeded,2→3,Yes,1,2
PL_EDW_SF_0PLANT,Copy From SF to Public Blob,1,,Copy From Public Blob to ADLS,2,,Succeeded,1→2,Yes,0,1
PL_EDW_SF_0PLANT,Copy From Public Blob to ADLS,2,,Copy from ADLS to Synapse,3,,Succeeded,2→3,Yes,1,2
